id,sq_mt_built,n_rooms,n_bathrooms,buy_price,buy_price_by_area,district
21191,95,2,2,154500,1626,San Andrés
21190,78,2,1,146800,1882,Villaverde
21189,72,2,1,139000,1931,Los Ángeles
21188,60,3,1,66000,1100,San Cristóbal
21187,60,2,1,70000,1167,San Cristóbal
21186,59,2,2,99000,1678,San Andrés
21185,90,3,1,190000,2111,San Andrés
21184,61,2,1,93000,1525,San Andrés
21183,73,3,1,79900,1095,San Cristóbal
21182,97,4,1,149000,1536,Los Ángeles
21181,76,3,1,140000,1842,Butarque
21180,108,3,1,143900,1332,San Andrés
21179,187,3,2,295000,1578,Butarque
21178,62,2,1,107000,1726,San Andrés
21176,89,2,2,250000,2809,Butarque
21175,68,2,1,164000,2412,Los Rosales
21174,65,3,1,108000,1662,San Cristóbal
21173,114,4,2,257000,2254,San Andrés
21172,70,3,1,119000,1700,Los Ángeles
21171,55,2,1,99900,1816,Butarque
21170,90,2,1,215000,2389,Butarque
21169,67,3,1,99000,1478,San Andrés
21168,110,2,2,225000,2045,Butarque
21167,125,3,3,275000,2200,Butarque
21166,65,3,1,85000,1308,Los Ángeles
21165,57,3,1,109000,1912,San Cristóbal
21164,125,3,2,210000,1680,Villaverde
21163,80,3,2,130000,1625,San Cristóbal
21162,110,4,1,199000,1809,San Andrés
21161,125,3,3,275000,2200,Butarque
21160,93,3,1,125000,1344,Los Rosales
21159,120,3,2,250000,2083,Butarque
21158,78,2,1,198500,2545,Butarque
21157,147,4,2,350000,2381,Butarque
21156,52,2,1,99900,1921,Los Rosales
21155,100,3,2,137260,1373,San Andrés
21154,102,3,2,245000,2402,Los Ángeles
21153,200,5,3,330000,1650,Butarque
21152,69,2,1,119000,1725,Villaverde
21151,104,3,2,305000,2933,Villaverde
21150,80,3,1,107260,1341,Villaverde
21149,65,3,1,99000,1523,San Andrés
21148,62,2,1,93000,1500,San Cristóbal
21147,69,3,1,97000,1406,Butarque
21146,65,3,1,95000,1462,San Cristóbal
21145,80,3,1,128000,1600,Los Rosales
21144,116,3,2,280000,2414,Butarque
21143,160,4,2,450000,2812,Butarque
21142,83,3,1,147000,1771,Los Ángeles
21141,75,2,1,128000,1707,San Andrés
21140,110,4,1,199000,1809,San Andrés
21139,75,3,1,125000,1667,Los Rosales
21138,60,3,1,110000,1833,San Cristóbal
21137,75,2,1,125000,1667,Los Rosales
21136,78,3,1,108300,1388,San Andrés
21135,106,3,2,249500,2354,Butarque
21134,65,3,1,124000,1908,Butarque
21133,70,2,1,202000,2886,Los Rosales
21132,95,3,2,164000,1726,Villaverde
21131,90,3,2,179000,1989,San Andrés
21130,79,3,1,135000,1709,Villaverde
21129,54,1,1,119000,2204,Villaverde
21128,78,2,1,107900,1383,Los Rosales
21127,109,3,1,139000,1275,San Andrés
21126,100,3,1,184000,1840,Los Rosales
21125,125,4,2,175000,1400,Los Ángeles
21124,50,2,1,99000,1980,Butarque
21123,70,3,1,99000,1414,San Andrés
21122,56,3,1,78000,1393,San Cristóbal
21121,60,2,1,68260,1138,San Cristóbal
21120,98,2,2,257000,2622,Los Rosales
21119,104,3,2,155000,1490,Butarque
21118,125,3,2,210000,1680,Los Rosales
21117,133,3,3,239000,1797,Butarque
21116,114,3,2,175000,1535,Los Rosales
21115,90,4,1,165000,1833,Los Ángeles
21114,124,3,2,245000,1976,Butarque
21113,75,3,1,136000,1813,Los Rosales
21112,70,3,1,109000,1557,San Andrés
21111,162,4,2,345000,2130,Butarque
21110,108,3,2,195000,1806,Los Rosales
21109,78,3,1,130700,1676,Los Ángeles
21108,60,1,1,123000,2050,Los Ángeles
21107,63,1,1,106900,1697,San Andrés
21106,75,3,1,140000,1867,Los Ángeles
21105,47,1,1,139000,2957,San Andrés
21104,67,1,1,104000,1552,Los Ángeles
21103,80,4,1,165000,2062,San Andrés
21102,100,3,1,178000,1780,Los Ángeles
21101,49,2,1,145000,2959,Los Rosales
21100,183,3,2,295000,1612,Butarque
21099,85,2,2,185000,2176,Butarque
21098,106,3,2,245000,2311,Butarque
21097,70,3,1,108000,1543,San Cristóbal
21096,134,4,2,292900,2186,San Andrés
21095,107,3,2,291000,2720,San Andrés
21094,52,1,1,124000,2385,San Andrés
